Index,Date,Open,High,Low,Close
NIFTY 50,2021-06-21,15525.85,15765.15,15505.65,15746.5
NIFTY 50,2021-06-22,15840.5,15895.75,15752.1,15772.75
NIFTY 50,2021-06-23,15862.8,15862.95,15673.95,15686.95
NIFTY 50,2021-06-24,15737.3,15821.4,15702.7,15790.45
NIFTY 50,2021-06-25,15839.35,15870.8,15772.3,15860.35
NIFTY 50,2021-06-28,15915.35,15915.65,15792.15,15814.7
NIFTY 50,2021-06-29,15807.5,15835.9,15724.05,15748.45
NIFTY 50,2021-06-30,15776.9,15839.1,15708.75,15721.5
NIFTY 50,2021-07-01,15755.05,15755.55,15667.05,15680.0
NIFTY 50,2021-07-02,15705.85,15738.35,15635.95,15722.2
NIFTY 50,2021-07-05,15793.4,15845.95,15762.05,15834.35
NIFTY 50,2021-07-06,15813.75,15914.2,15801.0,15818.25
NIFTY 50,2021-07-07,15819.6,15893.55,15779.7,15879.65
NIFTY 50,2021-07-08,15855.4,15885.75,15682.9,15727.9
NIFTY 50,2021-07-09,15688.25,15730.85,15632.75,15689.8
NIFTY 50,2021-07-12,15766.8,15789.2,15644.75,15692.6
NIFTY 50,2021-07-13,15794.0,15820.8,15744.6,15812.35
NIFTY 50,2021-07-14,15808.7,15877.35,15764.2,15853.95
NIFTY 50,2021-07-15,15872.15,15952.35,15855.0,15924.2
NIFTY 50,2021-07-16,15958.35,15962.25,15882.6,15923.4
NIFTY 50,2021-07-19,15754.5,15836.9,15707.5,15752.4
NIFTY 50,2021-07-20,15703.95,15728.45,15578.55,15632.1
NIFTY 50,2021-07-22,15736.6,15834.8,15726.4,15824.05
NIFTY 50,2021-07-23,15856.8,15899.8,15768.4,15856.05
NIFTY 50,2021-07-26,15849.3,15893.35,15797.0,15824.45
NIFTY 50,2021-07-27,15860.5,15881.55,15701.0,15746.45
NIFTY 50,2021-07-28,15761.55,15767.5,15513.45,15709.4
NIFTY 50,2021-07-29,15762.7,15817.35,15737.8,15778.45
NIFTY 50,2021-07-30,15800.6,15862.8,15744.85,15763.05
NIFTY 50,2021-08-02,15874.9,15892.9,15834.65,15885.15
NIFTY 50,2021-08-03,15951.55,16146.9,15914.35,16130.75
NIFTY 50,2021-08-04,16195.25,16290.2,16176.15,16258.8
NIFTY 50,2021-08-05,16288.95,16349.45,16210.3,16294.6
NIFTY 50,2021-08-06,16304.4,16336.75,16223.3,16238.2
NIFTY 50,2021-08-09,16281.35,16320.75,16179.05,16258.25
NIFTY 50,2021-08-10,16274.8,16359.25,16202.25,16280.1
NIFTY 50,2021-08-11,16327.3,16338.75,16162.55,16282.25
NIFTY 50,2021-08-12,16303.65,16375.5,16286.9,16364.4
NIFTY 50,2021-08-13,16385.7,16543.6,16376.3,16529.1
NIFTY 50,2021-08-16,16518.4,16589.4,16480.75,16563.05
NIFTY 50,2021-08-17,16545.25,16628.55,16495.4,16614.6
